texto,tipo_documento
El juez petición a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se corre envío a la parte demandada del escrito presentado por la parte actora en fecha 27/07/2025.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su remesa y contestación.,Traslado
El despacho dispone dar remisión a la contraparte del recurso de reposición interpuesto por Andrés Castillo.,Traslado
Se otorga remesa a la administración demandada para que presente alegaciones.,Traslado
Se deja sin efecto la medida de recuperación sobre los bienes de José Luis.,Desembargo
Se aviso al actor para que precise su demanda en el término legal.,Requerimiento
Se ordena el requisa preventivo sobre las acciones de la empresa de Marta Ramírez.,Embargo
El juzgado aviso a la empresa informar el salario y prestaciones de Juan Pérez.,Requerimiento
Se corre notificación a la parte demandada del escrito presentado por la parte actora en fecha 14/05/2025.,Traslado
Se ordena la confiscación preventivo de la cuenta número 7140374 a nombre de José Luis.,Embargo
El juzgado concede remesa a la entidad Banco Nacional para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se autoriza el decomiso de la propiedad inmueble situada en Medellín.,Embargo
Se da notificación al Ministerio Público del informe presentado por Laura Sánchez.,Traslado
El despacho solicitud al banco Banco del Norte informar los movimientos de la cuenta 7299332 en los últimos seis meses.,Requerimiento
Se otorga traslado a la administración demandada para que presente alegaciones.,Traslado
Se corre traslado a la parte demandada del escrito presentado por la parte actora en fecha 23/05/2025.,Traslado
Se da traslado al Ministerio Público del informe presentado por José Torres.,Traslado
El despacho demanda al banco Cooperativa Solidaria informar los movimientos de la cuenta 1734825 en los últimos seis meses.,Requerimiento
Se dispone dar envío al recurso extraordinario presentado por Luis Fernández.,Traslado
El despacho exigencia al banco Banco de Bogotá informar los movimientos de la cuenta 2859085 en los últimos seis meses.,Requerimiento
Se dispone el recuperación de los bienes embargados para su devolución al deudor.,Desembargo
Se autoriza el retención de la propiedad inmueble situada en Barranquilla.,Embargo
Se corre remesa a la parte demandada del escrito presentado por la parte actora en fecha 19/09/2025.,Traslado
Se decreta la retención de los bienes muebles ubicados en la dirección indicada.,Embargo
Se ordena el retención preventivo sobre las acciones de la empresa de Luis Fernández.,Embargo
Se concede traslado a la contraparte para que comparezca y conteste la demanda.,Traslado
Se corre remesa a la parte demandada del escrito presentado en fecha 24/08/2024.,Traslado
Se otorga comunicación a la administración demandada para que presente alegaciones.,Traslado
El juzgado decreta la retención de los bienes del demandado ubicados en Manizales.,Embargo
El despacho decreta el liberar una cuenta que pesaba sobre el inmueble de María Gómez.,Desembargo
Se mandato al apoderado de Carolina Rivas allegar copia auténtica del título ejecutivo.,Requerimiento
El juez autoriza el recuperación de los recursos retenidos en la entidad Cooperativa Solidaria.,Desembargo
Se ordena la requisa preventivo de la cuenta número 7630189 a nombre de Fernando Ruiz.,Embargo
Se solicitud a la entidad Cooperativa Solidaria remitir certificación actualizada de los saldos de la cuenta 5729963.,Requerimiento
Se libra mandamiento de requisa sobre el vehículo de placas 314X142.,Embargo
El juzgado solicitud a Ricardo Gómez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se dispone dar envío al recurso extraordinario presentado por José Torres.,Traslado
Se orden al actor para que precise su demanda en el término legal.,Requerimiento
Se corre envío a la parte demandada del escrito presentado en fecha 04/03/2024.,Traslado
Se demanda al apoderado de Verónica Paredes allegar copia auténtica del título ejecutivo.,Requerimiento
Se decreta la requisa de los bienes muebles ubicados en la dirección indicada.,Embargo
Se demanda a Davivienda remitir relación detallada de los productos financieros a nombre de Isabel Vargas.,Requerimiento
Se petición a la entidad Banco de Occidente remitir certificación actualizada de los saldos de la cuenta 2753534.,Requerimiento
Se ordena el incautación preventivo sobre las acciones de la empresa de José Luis.,Embargo
Se solicitud a BBVA remitir relación detallada de los productos financieros a nombre de Carolina Rivas.,Requerimiento
Se declara el liberación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El despacho dispone la incautación sobre el salario de Carolina Rivas.,Embargo
El juez petición a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se ordena el retención preventivo sobre las acciones de la empresa de Juan Pérez.,Embargo
Se dispone la secuestro de los bienes registrados a nombre de Andrés Castillo.,Embargo
Se ordena el requisa preventivo sobre las acciones de la empresa de Juan Pérez.,Embargo
Se deja sin efecto la medida de restitución sobre los bienes de Pedro López.,Desembargo
El despacho decreta el liberar una cuenta que pesaba sobre el inmueble de Ana Martínez.,Desembargo
El juzgado concede remesa a la entidad Banco Andino para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se requerimiento al empleador presentar certificación de ingresos de Carolina Rivas.,Requerimiento
Se mandato a la entidad Banco Nacional remitir certificación actualizada de los saldos de la cuenta 3248187.,Requerimiento
El despacho aviso al banco Banco Popular informar los movimientos de la cuenta 2796887 en los últimos seis meses.,Requerimiento
El juzgado solicitud a la empresa informar el salario y prestaciones de Luis Fernández.,Requerimiento
El juez ordena la requisa de los fondos depositados en la entidad financiera Banco Nacional.,Embargo
El despacho dispone dar comunicación a la contraparte del recurso de reposición interpuesto por Ricardo Gómez.,Traslado
El juzgado ordena el desaplicación del embargo de las medidas cautelares sobre la cuenta 9210232.,Desembargo
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
