texto,tipo_documento
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 364007.,Desembargo
El juzgado autoriza el desembargo de los fondos retenidos en Bancolombia.,Desembargo
El despacho judicial solicita los movimientos financieros de Martínez.,Requerimiento
El despacho judicial decreta embargo de los ahorros en Banco de Occidente.,Embargo
Se requiere al banco reporte actualizado de las cuentas afectadas.,Requerimiento
Se remite oficio al Juzgado 982625 de Ejecución para la continuación del trámite.,Traslado
Se requiere al banco reporte actualizado de las cuentas afectadas.,Requerimiento
Notifíquese a la entidad financiera la liberación de los recursos de Ramírez.,Desembargo
Se requiere al banco BBVA remitir los extractos de la cuenta 329408.,Requerimiento
Se solicita al banco Davivienda enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Ordena el embargo de los bienes muebles e inmuebles del ciudadano Vargas.,Embargo
El juzgado solicita la inmovilización de los recursos en la cuenta 848667.,Embargo
Se requiere confirmar la recepción de la orden de embargo por parte de Banco Nacional.,Requerimiento
El juzgado decreta medida cautelar de embargo a favor del demandante.,Embargo
El juzgado ordena remitir el expediente al despacho judicial de origen.,Traslado
El despacho judicial decreta embargo de los ahorros en Bancolombia.,Embargo
Remítase copia completa del proceso al despacho competente.,Traslado
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 697624.,Desembargo
Por orden judicial se bloquean los fondos del demandado en BBVA.,Embargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Proceda el banco a levantar la medida cautelar vigente sobre la cuenta 758771.,Desembargo
Se dispone el embargo sobre los valores depositados en la cuenta 302651.,Embargo
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 556182.,Desembargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Envíese el expediente al Juzgado 656865 de Familia para su conocimiento.,Traslado
Se requiere información adicional sobre la cuenta 515679 perteneciente a Pérez.,Requerimiento
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
El juzgado decreta medida cautelar de embargo a favor del demandante.,Embargo
Notifíquese a la entidad financiera la liberación de los recursos de Pérez.,Desembargo
Notifíquese a la entidad financiera la liberación de los recursos de Pérez.,Desembargo
El despacho solicita detalle de los depósitos judiciales asociados al proceso.,Requerimiento
Se dispone remitir los documentos al despacho que conoce la causa.,Traslado
El juzgado solicita información sobre los saldos bloqueados de Pérez.,Requerimiento
Se requiere al banco reporte actualizado de las cuentas afectadas.,Requerimiento
Se dispone el embargo sobre los valores depositados en la cuenta 942826.,Embargo
Se solicita al banco Bancolombia enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Proceda el banco a levantar la medida cautelar vigente sobre la cuenta 456724.,Desembargo
Se dispone el embargo sobre los valores depositados en la cuenta 674609.,Embargo
Se requiere confirmar la recepción de la orden de embargo por parte de Banco Popular.,Requerimiento
